process_data_ms,total_processing_ms,full_loop_ms,total time,accuracy
11.818,8.238,8.071,30.893,0.000
11.254,5.397,2.452,39.090,0.000
16.394,7.017,2.966,35.693,0.000
18.463,4.703,2.772,38.317,0.000
17.079,9.624,6.145,37.047,0.000
15.667,4.789,2.450,42.145,0.000
21.065,5.136,2.461,44.108,0.000
17.265,6.407,3.636,40.482,0.000
18.162,7.135,4.706,41.753,0.000
13.780,6.201,5.515,43.495,0.000
16.043,5.406,3.411,38.949,0.000
23.936,7.295,4.929,36.637,0.000
13.573,5.924,2.627,50.034,0.000
12.212,6.555,2.691,35.083,0.000
12.944,8.347,6.462,33.499,0.000
9.260,6.511,2.259,34.326,0.000
10.557,5.094,5.866,29.945,0.000
12.297,5.904,2.613,32.506,0.000
14.288,5.110,2.934,31.509,0.000
17.254,5.754,2.811,29.543,0.000
16.890,6.468,2.591,33.483,0.000
12.786,5.883,5.957,38.621,0.000
15.090,9.553,7.095,34.939,0.000
18.360,8.318,5.844,41.225,0.000
18.323,7.355,1.978,44.185,0.000
11.618,11.159,6.861,53.857,0.000
9.714,5.801,6.305,45.193,0.000
14.583,7.246,3.985,41.604,0.000
9.659,5.844,4.334,35.764,0.000
8.424,5.865,2.767,32.769,0.000
9.782,4.826,2.358,23.850,0.000
12.914,4.845,3.135,23.853,0.000
15.995,4.683,3.067,27.045,0.000
16.366,8.313,2.697,34.058,0.000
16.810,4.669,2.322,46.773,0.000
16.075,6.718,3.774,34.168,0.000
15.506,6.101,3.375,34.959,0.000
15.824,6.248,2.709,37.565,0.000
9.530,5.514,4.643,40.559,0.000
15.839,8.121,6.205,33.710,0.000
11.050,5.453,6.313,46.874,0.000
12.053,6.872,2.974,42.390,0.000
10.263,4.855,2.836,37.878,0.000
9.211,6.595,5.696,36.472,0.000
11.945,7.524,4.630,33.707,0.000
14.261,6.039,7.357,33.722,0.000
11.583,7.567,9.148,39.019,0.000
15.299,6.252,3.433,40.024,0.000
9.244,7.466,4.738,37.433,0.000
10.463,8.866,8.279,35.243,0.000
20.832,6.572,5.395,49.908,0.000
12.987,7.114,2.833,44.647,0.000
16.890,5.601,2.680,43.977,0.000
17.730,4.802,2.056,44.667,0.000
20.711,5.499,2.834,38.802,0.000
21.659,5.004,3.283,44.753,0.000
16.651,7.752,5.838,43.668,0.000
14.798,4.801,2.746,43.019,0.000
18.619,4.503,2.949,38.681,0.000
13.129,6.637,3.023,41.876,0.000
11.919,8.419,3.890,37.323,0.000
12.425,5.111,6.253,40.677,0.000
14.342,5.227,3.164,41.927,0.000
16.369,5.498,3.141,36.952,0.000
12.371,7.176,4.813,39.927,0.000
10.873,5.061,3.314,36.180,0.000
13.303,6.343,3.711,30.116,0.000
12.998,4.689,3.465,39.797,0.000
14.216,5.771,3.580,37.699,0.000
13.178,4.979,4.426,34.317,0.000
12.723,6.256,3.809,36.413,0.000
14.742,5.543,2.903,36.810,0.000
14.088,5.772,4.165,35.857,0.000
18.219,5.881,4.632,43.187,0.000
12.563,10.187,3.600,41.115,0.000
14.128,9.713,6.701,37.192,0.000
9.907,7.252,3.983,43.637,0.000
8.143,5.263,2.728,41.625,0.000
14.989,5.806,2.967,30.330,0.000
14.805,5.848,2.435,33.408,0.000
13.061,4.656,2.804,33.754,0.000
11.447,10.726,2.949,33.036,0.000
11.849,5.394,3.636,35.079,0.000
7.547,6.296,3.693,34.500,0.000
15.983,4.813,4.122,26.171,0.000
14.495,6.379,3.202,33.875,0.000
13.918,5.709,3.715,42.248,0.000
18.493,6.643,8.635,40.719,0.000
13.149,7.182,3.481,49.298,0.000
11.622,7.174,3.361,36.022,0.000
12.727,6.255,3.109,37.140,0.000
14.301,6.729,2.512,37.364,0.000
16.311,5.620,2.147,36.846,0.000
17.417,6.591,3.152,34.378,0.000
21.729,5.220,2.603,39.066,0.000
19.849,7.509,4.559,41.767,0.000
15.960,8.233,4.282,42.902,0.000
17.909,6.840,2.339,40.018,0.000
15.935,6.085,2.673,36.773,0.000
10.799,8.867,3.996,40.932,0.000
10.737,6.011,3.697,36.511,0.000
10.751,7.533,3.481,31.674,0.000
11.836,6.282,4.340,31.752,0.000
14.634,4.549,3.036,33.023,0.000
17.873,8.316,2.285,29.487,0.000
20.233,4.707,2.476,39.862,0.000
24.804,5.094,2.666,39.563,0.000
11.676,6.223,3.664,48.776,0.000
16.327,5.563,2.546,37.567,0.000
10.338,8.774,3.890,48.054,0.000
12.626,5.393,5.192,42.241,0.000
12.773,5.427,2.371,35.821,0.000
11.349,7.623,3.819,36.182,0.000
10.315,6.057,3.915,30.448,0.000
10.579,6.417,2.582,27.971,0.000
8.956,5.154,2.867,32.010,0.000
13.640,4.976,3.061,30.649,0.000
16.892,5.035,2.870,32.102,0.000
12.040,5.735,2.376,33.342,0.000
11.713,6.649,4.601,29.160,0.000
13.100,5.594,2.507,32.449,0.000
9.939,5.955,2.734,31.834,0.000
10.619,5.663,2.848,31.007,0.000
9.533,5.154,3.384,29.011,0.000
8.851,5.199,3.004,30.674,0.000
12.183,7.924,3.496,31.166,0.000
16.924,4.616,3.067,36.016,0.000
16.131,5.289,4.071,37.352,0.000
17.457,4.884,2.499,44.671,0.000
14.460,7.235,2.516,45.042,0.000
13.630,10.709,2.414,43.142,0.000
11.803,5.760,2.569,41.472,0.000
13.084,5.361,3.083,35.431,0.000
10.144,5.313,2.885,32.324,0.000
8.676,5.152,2.378,28.423,0.000
8.738,5.559,4.559,27.694,0.000
11.235,5.286,3.244,30.984,0.000
14.531,4.851,2.878,30.670,0.000
15.102,5.664,3.243,35.041,0.000
16.306,5.677,2.594,36.678,0.000
10.089,6.815,6.156,38.092,0.000
14.903,9.645,12.902,40.205,0.000
10.530,5.461,5.260,51.727,0.000
11.607,5.872,3.259,33.610,0.000
14.677,4.946,5.186,34.458,0.000
14.070,5.449,4.692,38.555,0.000
12.928,5.890,2.889,37.738,0.000
13.721,6.647,8.662,31.446,0.000
16.484,7.666,8.686,43.111,0.000
11.467,5.264,6.033,46.053,0.000
12.945,5.741,4.571,36.367,0.000
11.763,5.362,4.377,32.506,0.000
26.410,6.299,4.444,34.072,0.000
10.906,4.539,2.840,51.438,0.000
18.856,6.926,2.783,34.480,0.000
19.219,4.940,4.258,38.819,0.000
16.413,5.590,2.754,40.867,0.000
13.950,4.957,3.753,35.005,0.000
13.058,7.269,4.829,33.414,0.000
14.877,8.362,4.420,34.140,0.000
17.970,5.569,6.244,36.630,0.000
