process_data_ms,total_processing_ms,full_loop_ms,full_time,accuracy
18.076,7.556,5.861,47.469,0
12.058,5.484,8.916,60.523,0
17.341,5.583,6.047,39.786,0
18.884,4.741,3.971,40.372,0
22.81,5.431,11.209,39.311,0
16.609,5.766,5.996,52.202,0
19.899,6.436,6.126,42.288,1
27.284,5.312,7.351,45.331,1
20.935,6.041,9.076,50.379,1
13.717,6.784,10.81,61.331,1
12.994,8.922,5.11,43.446,1
19.258,5.838,9.328,48.181,1
11.979,5.912,3.969,50.655,1
18.109,11.583,9.226,32.645,1
13.76,5.803,4.184,50.17,0
17.695,6.082,3.276,36.891,1
28.904,9.33,9.087,39.314,1
16.167,7.112,5.685,61.775,1
12.699,6.524,6.317,45.993,1
14.161,7.333,4.369,45.303,1
11.849,6.677,4.663,44.735,1
14.135,7.134,5.986,42.063,1
17.935,5.75,10.225,47.552,1
17.636,6.651,5.126,53.356,1
24.19,13.716,5.466,56.304,1
17.575,4.767,2.665,70.139,1
20.324,5.447,6.119,39.891,1
14.902,5.438,4.403,56.296,1
21.689,7.861,10.368,41.953,1
23.386,8.092,9.595,70.82,1
41.847,12.521,16.513,69.993,1
42.471,7.658,5.997,95.597,1
14.354,10.905,18.315,93.256,1
17.252,5.905,4.364,66.099,1
13.741,8.905,4.173,42.89,1
15.537,8.603,4.303,45.699,1
27.706,7.471,12.193,45.954,1
12.546,6.395,10.833,71.358,1
35.302,8.799,13.389,39.424,1
15.996,8.365,6.872,83.862,1
14.514,6.01,4.591,45.998,1
18.502,5.463,3.57,41.342,1
13.391,8.525,3.156,38.66,1
27.274,9.436,5.688,43.236,1
11.031,4.881,20.088,62.278,1
10.734,19.859,6.713,52.369,1
25.393,13.128,6.212,53.766,1
11.362,5.64,6.536,56.397,1
26.08,13.287,5.24,36.762,1
31.559,7.261,12.528,58.162,1
14.634,9.641,11.497,81.92,1
11.633,4.974,5.7,61.711,1
12.891,8.273,6.041,42.926,1
24.945,7.005,4.279,52.529,1
25.978,8.681,6.804,57.477,1
29.541,7.153,6.612,54.937,1
5.726,3.173,2.691,57.217,1
5.263,3.165,2.749,21.666,1
17.003,5.001,12.861,18.739,1
10.237,5.486,4.801,43.714,0
11.465,6.798,5.299,33.226,0
10.291,10.093,4.359,35.35,0
19.056,10.435,6.136,36.013,0
17.664,6.446,8.644,46.765,0
11.175,6.222,6.815,50.59,0
12.325,5.157,6.053,46.662,0
11.732,5.095,5.054,38.004,0
12.613,4.889,6.097,42.106,0
13.376,5.378,10.125,46.386,0
12.51,5.037,4.817,47.265,0
12.35,9.366,13.494,36.214,0
8.015,5.256,4.358,47.908,0
15.36,5.507,7.112,38.569,0
14.797,6.221,6.294,54.825,0
13.674,6.985,4.341,46.089,0
11.278,7.495,5.91,38.6,0
13.948,4.921,5.368,47.828,0
18.696,4.691,6.485,42.271,0
17.313,4.554,3.377,46.625,0
18.038,6.102,7.554,38.919,0
19.422,4.912,4.364,46.594,0
16.953,4.667,3.808,54.234,0
21.182,5.77,7.155,46.491,0
15.856,6.143,4.306,46.16,0
16.359,5.268,4.5,36.427,0
10.31,5.916,5.614,39.522,0
15.062,5.676,3.519,41.982,0
17.354,6.809,3.671,46.119,0
12.854,8.594,4.936,37.487,0
9.724,4.615,3.896,43.309,0
9.978,5.402,3.541,29.591,0
10.42,4.685,3.094,30.446,0
14.264,5.857,3.396,29.198,0
25.859,7.029,4.628,31.958,0
14.6,4.763,2.733,53.937,0
14.9,4.522,3.918,32.571,0
19.192,4.74,4.276,36.887,0
20.562,6.282,3.201,44.209,1
18.533,4.809,4.917,48.27,1
16.942,4.859,4.579,48.962,0
19.278,4.841,2.763,41.372,0
20.097,4.82,3.512,40.733,1
29.989,7.162,9.292,42.407,0
17.147,5.401,4.012,61.695,0
13.371,5.009,3.496,39.303,0
13.013,9.804,5.356,39.804,0
19.616,6.891,3.582,43.448,0
13.511,4.826,4.612,43.554,0
15.325,4.796,3.719,41.548,0
9.786,9.18,3.972,38.04,0
20.225,5.942,4.57,35.252,0
8.547,9.419,4.36,44.637,0
13.252,5.077,2.997,36.843,0
15.724,5.431,3.399,31.449,0
13.914,8.646,4.006,35.14,0
11.129,8.383,3.311,34.834,0
11.571,7.754,8.874,33.709,0
10.359,6.402,2.99,39.517,0
12.756,5.145,3.554,34.07,0
12.463,4.489,3.87,35.988,0
18.331,5.151,3.315,34.518,0
16.582,2.828,1.513,37.669,0
7.03,2.822,1.703,37.579,1
7.908,4.123,1.615,19.653,0
27.656,4.88,2.698,19.4,1
10.675,8.305,3.051,42.14,0
10.251,4.835,2.976,34.181,0
8.822,5.014,3.061,31.952,0
12.416,4.682,3.058,32.247,0
15.846,4.969,2.867,35.044,0
16.273,4.641,3.919,33.746,0
13.178,7.714,4.365,35.183,0
10.642,5.67,3.854,40.129,0
17.841,6.05,3.03,38.612,0
13.067,5.844,3.189,39.998,0
10.926,5.064,3.5,33.287,0
12.568,6.815,2.508,32.58,0
19.437,5.714,3.102,38.276,0
18.295,4.719,4.545,41.477,0
14.6,5.342,4.292,41.608,0
14.98,6.19,7.035,41.498,0
14.882,4.753,3.099,44.696,0
25.628,6.881,3.612,38.644,0
16.298,7.653,5.231,44.336,0
11.045,7.081,5.262,39.675,0
12.457,4.609,2.202,38.313,0
10.87,5.989,3.311,29.449,0
10.788,7.717,3.809,29.84,0
14.486,7.17,6.111,38.536,0
21.083,5.506,2.182,44.273,0
16.937,4.704,3.473,45.733,0
19.96,9.072,2.518,42.606,0
17.751,6.194,4.337,41.628,0
13.582,6.16,6.286,44.256,0
14.851,5.311,3.381,47.31,0
16.062,4.64,2.655,35.402,0
23.177,4.526,2.994,36.065,1
17.704,5.139,7.641,43.872,0
22.123,5.622,2.896,48.514,0
16.55,5.361,3.525,50.199,0
19.961,10.288,2.182,45.768,0
9.869,4.817,4.09,47.545,0
18.841,5.036,3.488,44.463,0
11.576,6.966,4.348,50.984,0
14.36,5.956,4.351,38.198,0
13.382,4.584,6.953,37.361,0
11.85,7.969,2.831,40.579,0
11.593,5.548,4.875,35.576,0
20.101,9.289,2.49,37.201,0
16.781,4.894,4.108,45.445,0
15.237,7.593,4.473,49.477,0
12.032,4.898,2.387,46.055,0
16.737,10.156,6.087,43.863,0
15.521,8.062,4.221,51.035,0
20.98,4.823,4.228,50.571,0
9.987,5.557,3.782,54.664,0
15.833,4.645,3.287,51.035,0
13.107,8.911,9.55,39.124,0
13.88,4.967,4.743,44.944,1
11.706,8.823,3.041,44.726,0
16.814,5.524,3.283,40.843,0
19.896,4.761,4.61,45.056,0
14.21,8.503,5.802,49.033,0
13.891,4.518,3.434,45.672,0
7.088,3.45,2.864,35.98,0
8.171,6.198,2.118,21.277,0
13.057,5.758,4.164,21.326,0
9.168,5.484,2.154,31.111,0
13.4,7.366,4.65,24.374,0
9.679,5.361,4.403,35.435,0
14.214,4.646,3.093,31.578,0
11.038,6.408,4.145,35.988,0
12.781,8.498,3.664,33.772,0
10.671,4.888,4.959,35.549,0
16.472,6.175,8.535,35.717,0
12.941,6.674,4.91,43.145,0
18.566,4.899,3.82,49.211,0
10.998,4.918,4.65,39.952,0
18.674,6.848,4.528,36.769,0
13.613,5.037,3.233,50.217,0
18.892,5.457,4.316,47.151,0
13.367,7.435,4.092,36.726,0
12.42,6.288,4.936,41.446,1
14.269,6.607,3.125,40.929,0
17.61,6.219,2.869,39.857,0
12.348,5.411,3.307,38.257,0
12.411,7.487,3.807,34.544,0
14.856,5.493,2.49,32.695,0
13.624,4.767,3.526,36.4,0
12.867,5.65,3.627,44.245,0
12.497,4.799,2.607,37.71,0
9.398,5.279,2.235,30.336,0
11.87,6.636,3.056,30.189,0
12.771,5.489,3.102,31.115,0
15.222,4.601,2.676,30.859,1
42.45,7.058,6.271,31.577,1
17.693,5.669,3.373,75.751,1
14.469,8.542,2.588,36.964,1
13.434,5.626,4.479,45.45,1
30.373,5.553,4.116,39.051,1
18.965,9.045,4.21,50.08,0
16.681,6.133,5.459,42.83,0
15.161,6.652,6.208,42.725,0
10.36,6.706,5.624,42.238,0
14.504,6.833,4.869,36.388,0
16.943,6.362,4.075,38.028,0
16.282,7.821,4.779,42.84,0
13.698,5.561,4.585,46.689,0
12.023,6.221,5.041,50.562,0
17.848,4.985,4.434,53.898,0
12.889,7.144,5.029,43.499,0
17.903,5.067,3.715,39.432,0
13.899,7.309,6.965,37.45,0
