process_data_ms,total_processing_ms,full_loop_ms,full_time,accuracy
15.373,5.04,4.406,35.75,0
10.41,5.095,2.702,38.646,0
15.11,5.615,4.375,28.575,0
8.893,5.461,4.007,36.625,0
13.427,4.752,4.008,29.702,0
10.744,4.755,5.664,34.631,0
19.851,7.623,8.846,32.864,0
15.956,4.612,4.063,50.229,0
18.406,8.162,5.842,46.634,0
18.26,6.875,6.499,48.954,0
22.778,5.635,6.883,44.067,0
16.81,8.458,4.16,55.651,0
13.211,12.481,3.465,41.981,0
14.909,7.917,7.14,49.373,0
10.262,6.094,4.609,47.924,0
11.993,5.814,9.228,37.593,0
14.915,7.635,5.112,38.999,0
12.191,7.179,5.19,44.667,0
8.899,5.069,4.253,40.4,0
17.794,7.591,4.128,36.571,0
19.955,7.034,6.39,47.022,0
11.694,4.993,6.433,50.442,0
21.193,8.085,3.667,52.443,0
15.237,5.037,4.668,51.012,0
24.082,8.311,3.306,43.094,0
22.166,7.417,3.027,51.045,0
10.618,5.932,3.988,54.613,0
15.772,4.366,6.307,41.742,0
18.17,5.151,3.484,43.608,0
24.696,6.066,3.186,40.945,0
9.94,7.294,2.867,43.936,0
12.864,5.713,3.586,36.512,0
13.628,6.001,3.98,35.851,0
15.656,5.185,2.306,37.765,0
12.579,4.864,3.366,31.468,0
11.621,8.364,4.365,31.71,0
11.899,6.983,5.771,35.177,0
10.225,5.737,3.185,36.279,0
13.675,8.403,2.924,32.666,0
11.775,5.326,3.052,39.234,0
14.564,5.638,2.702,35.347,0
11.652,7.17,4.317,45.779,0
13.968,4.573,3.169,35.279,0
15.533,5.366,2.992,36.31,0
14.371,8.29,5.081,32.996,0
12.353,5.382,3.834,40.069,0
13.344,4.686,3.125,34.618,0
11.266,6.393,2.897,32.702,0
14.707,6.182,7.224,29.683,0
14.841,7.351,2.533,37.681,0
13.057,6.071,4.471,39.494,0
13.856,5.054,3.06,37.605,0
16.167,4.636,3.504,37.978,0
24.36,4.543,4.244,39.807,0
12.515,5.567,4.126,42.798,0
11.518,4.462,3.155,32.428,0
15.95,4.712,4.581,27.057,0
12.985,18.788,13.294,31.384,0
31.421,4.617,3.49,51.79,0
