process_data,angle_calc,draw,full_loop,arduino_signal
13.075,5.568,26.533,45.175,0.000
10.791,5.096,27.224,43.111,0.000
8.119,5.686,26.963,40.768,0.000
9.211,5.373,26.676,41.260,0.000
8.751,5.805,26.702,41.258,0.000
9.805,5.682,26.940,42.426,0.000
7.038,5.950,27.362,40.349,0.000
9.969,6.641,26.168,42.777,0.000
9.461,5.801,27.296,42.558,0.000
8.656,5.353,26.967,40.976,0.000
11.362,4.992,28.515,44.868,0.000
8.555,6.025,27.093,41.673,0.000
8.298,5.457,26.942,40.696,0.000
11.303,4.899,26.681,42.883,0.000
9.950,5.703,27.064,42.717,0.000
8.497,5.885,26.771,41.152,0.000
8.817,5.468,26.871,41.156,0.000
11.937,5.207,27.045,44.189,0.000
9.680,7.363,26.378,43.421,0.000
9.769,5.741,27.027,42.538,0.000
11.953,5.860,26.577,44.390,0.000
11.536,5.360,26.145,43.042,0.000
10.389,5.184,28.213,43.786,0.000
9.822,5.927,26.444,42.193,0.000
9.786,4.968,26.242,40.997,0.000
11.341,5.427,26.765,43.534,0.000
9.515,6.893,27.446,43.854,0.000
8.982,7.065,25.976,42.023,0.000
9.440,5.597,26.270,41.306,0.000
15.200,4.941,27.202,47.343,0.000
10.177,5.473,27.112,42.763,0.000
8.298,5.733,26.035,40.066,0.000
8.615,4.839,26.814,40.268,0.000
12.534,5.674,26.419,44.627,0.000
13.744,6.016,26.805,46.566,0.000
8.515,5.630,27.366,41.512,0.000
5.328,2.794,13.080,21.202,0.000
5.716,2.919,12.754,21.389,0.000
4.022,4.776,13.299,22.097,0.000
4.679,4.409,22.172,31.260,0.000
11.333,4.782,26.586,42.702,0.000
11.398,5.559,26.547,43.504,0.000
8.165,5.683,26.124,39.971,0.000
8.752,5.464,26.789,41.005,0.000
12.459,5.075,27.133,44.667,0.000
11.694,5.687,33.999,51.380,0.000
12.711,5.813,26.694,45.218,0.000
11.485,7.903,27.758,47.146,0.000
9.862,6.203,26.827,42.892,0.000
9.840,5.698,26.335,41.873,0.000
12.159,5.962,26.575,44.697,0.000
13.705,5.735,26.354,45.793,0.000
8.965,7.064,26.100,42.129,0.000
9.218,6.053,26.172,41.444,0.000
9.546,5.708,26.301,41.554,0.000
13.056,5.230,29.776,48.063,0.000
23.905,6.631,26.356,56.892,0.000
8.802,5.721,28.061,42.583,0.000
13.323,5.368,27.124,45.816,0.000
13.329,5.462,26.381,45.171,0.000
11.489,6.977,27.179,45.645,0.000
9.821,5.847,26.558,42.226,0.000
9.460,5.495,26.566,41.522,0.000
12.495,5.264,26.509,44.268,0.000
9.951,6.624,26.547,43.122,0.000
8.582,6.100,27.249,41.932,0.000
9.996,5.268,26.642,41.906,0.000
10.787,5.414,27.244,43.445,0.000
11.660,5.530,28.085,45.275,0.000
9.320,5.771,26.958,42.049,0.000
9.738,5.021,26.687,41.446,0.000
11.371,5.929,27.176,44.476,0.000
9.969,7.119,26.648,43.736,0.000
8.746,6.208,26.325,41.279,0.000
11.123,4.894,26.591,42.608,0.000
10.524,6.137,26.777,43.438,0.000
11.054,7.988,26.294,45.337,0.000
9.717,5.470,26.829,42.016,0.000
11.123,5.051,26.880,43.053,0.000
9.950,6.610,27.199,43.759,0.000
9.642,5.597,28.121,43.361,0.000
8.292,5.964,27.172,41.429,0.000
11.220,5.809,26.879,43.909,0.000
10.372,7.233,26.623,44.229,0.000
9.021,6.443,27.450,42.914,0.000
9.361,5.121,28.851,43.333,0.000
10.962,5.316,26.724,43.002,0.000
9.368,7.133,26.796,43.296,0.000
9.089,5.497,26.920,41.506,0.000
9.182,4.874,26.992,41.048,0.000
12.578,5.120,26.871,44.570,0.000
9.095,6.243,26.914,42.251,0.000
8.221,5.455,26.502,40.178,0.000
11.730,5.456,26.415,43.601,0.000
8.762,6.500,26.184,41.447,0.000
8.120,5.906,26.207,40.233,0.000
8.495,4.924,26.445,39.864,0.000
